mRNA/gene pair,Ensembl IDs,Caov3,COV362,TYK-nu,OVCAR-4,SNU-119,FU-OV-1,IGROV-1,HEY A8,JHOS-2,NIHOVCAR3,OV56 ,OVSAHO,RMUG-S,OV-90,A2780,KURAMOCHI,OVCAR-8
VPS36,ENSG00000138750,1087.55,784.43,1590.13,199.059,892.988,546.504,527.985,1300.38,1921.11,779.104,562.552,178.293,920.977,286.321,1941.89,528.182,2205.8
SLC30A5,ENSG00000136783,356.881,412.642,400.723,275.278,675.87,131.994,228.029,86.6413,141.156,227.708,117.52,27.8775,461.731,921.241,553.083,564.593,75.4116
BPGM,ENSG00000134759,796.39,127.068,2570.29,757.028,404.513,385.951,491.453,140.02,141.695,61.5683,114.1,24.4796,655.577,79.0141,1032,211.017,337.553
AVL9,ENSG00000164338,957.456,559.705,689.352,384.645,511.149,138.418,178.964,855.122,287.277,240.135,320.27,44.3661,748.871,191.387,491.951,45.2501,213.443
GTPBP1,ENSG00000166170,910.465,586.208,1202.92,310.305,458.215,716.305,372.912,1503.67,931.295,247.883,628.391,88.1349,901.189,645.151,1319.82,103.361,555.849
NUP54,ENSG00000125868,3458.74,2286.75,3277.7,1626.11,1625.42,3051.73,2589.76,3573.86,1973.28,3730.92,1354.51,1529.04,2827.42,3278.43,2886.91,3526.66,5204.23
NIPSNAP3A,ENSG00000165410,1511.88,2531.98,1176.97,983.635,924.507,1196.37,1894.95,1716.16,3544.97,1962.65,1721.38,1637.44,2281.95,1404.79,195.898,385.569,616.654
ELP2,ENSG00000172757,1132.22,499.153,1488.03,234.768,723.218,624.23,646.179,1299.59,584.187,343.985,351.983,173.362,209.099,565.393,2169.39,186.529,380.666
UTP15,ENSG00000108528,2052.55,1789.4,4527.29,1265.92,2591.55,1411.6,3931.21,3022.65,469.749,677.872,1108.24,950.996,1475.92,763.415,4116.39,1898.67,324.842
BAG5,ENSG00000132604,665.656,648.645,784.634,833.713,497.225,1997.82,383.966,698.858,1227.55,1308.05,162.646,250.544,626.231,837.779,1072.48,809.366,290.921
DSTN,ENSG00000144591,4399.86,1037.81,4285.53,949.592,2182,1931.07,1338.26,919.344,2084.59,1830.93,859.865,385.771,2309.67,1596.38,2241.52,558.881,2814.75
CFL2,ENSG00000119537,981.905,1055.57,2822.04,2390.41,874.644,1274.29,985.993,4712.37,2295.49,770.468,319.898,239.126,2430.82,891.035,1147.97,1897.5,5832.17
CFL1,ENSG00000162729,20399,19074.9,27850.4,6618.26,5284.07,10639.9,5594.71,12385,2844.27,1613.82,2848.8,1984.81,6012.36,5183.29,18485.1,3199.54,22336.6
SLC25A11,ENSG00000067829,1574.56,1458.91,1524.89,2216.75,1848.18,1463.73,1472.23,2106.29,666.12,582.922,818.222,1088.9,1326.34,1782.39,1088.68,1130.53,1047.49
TERF2,ENSG00000182362,695.306,501.947,1406.04,702.906,718.854,478.923,628.887,648.596,661.439,937.915,435.837,1317.65,753.284,1451.03,698.264,1701.61,694.689
GMPPA,ENSG00000048544,2223.77,1198.82,1308.75,239.943,597.609,866.645,420.712,765.017,1913.25,679.16,675.979,569.556,771.68,1485.8,1677.51,492.912,2320.99
KDSR,ENSG00000078142,666.9,725.549,1108.84,267.42,849.671,615.385,437.25,792.193,526.598,432.785,424.9,185.892,248.424,678.922,1253.24,278.25,384.989
IGSF8,ENSG00000038274,207.304,335.219,698.136,856.827,977.122,458.406,1024.28,133.597,1025.99,1219.13,223.233,1652.42,1002.66,303.265,238.308,1771.57,247.574
IDH3G,ENSG00000157036,2478.58,1089.8,1284.51,1659.27,1064.98,734.425,1829.35,606.434,739.331,811.663,427.643,618.109,2874.14,2875.91,689.704,1697.7,646.214
YBEY,ENSG00000157778,267.696,84.6147,641.649,234.805,248.61,70.6987,435.423,459.508,358.923,336.679,481.212,1884.05,192.321,53.84,281.112,301.157,644.818
MRPS10,ENSG00000037042,1861.5,833.984,1643.28,1672.34,1637.95,2316.79,1793.91,1555.52,395.529,538.122,509.275,631.366,927.959,924.521,677.236,1106.97,745.764
PIK3C3,ENSG00000131462,1591.09,1326.48,2703.72,859.417,2176.86,763.463,707.133,2190.33,1413.5,566.771,580.909,161.182,1074.62,959.008,2291.15,626.173,213.239
MAT2B,ENSG00000151239,4277.03,2820.31,2366.97,1913.22,1199.64,956.815,1638.82,2401.92,1470.93,552.281,1721.36,529.441,1220.24,1038.18,1512.21,853.013,2847.84
EXOG,ENSG00000168615,118.292,207.718,221.165,266.293,412.145,525.271,395.976,362.56,159.097,219.768,72.2352,258.203,318.455,208.323,545.455,405.855,236.368
PSMG3,ENSG00000011243,324.522,1000.5,1534.61,269.365,148.95,10.254,184.384,189.772,160.613,59.7385,125.67,140.465,44.1504,34.9581,154.122,56.5964,555.239
TUBG2,ENSG00000158769,935.923,560.031,1367.9,809.325,937.828,516.397,1071.6,1669.31,726.896,445.546,696.46,227.511,650.607,863.707,1156.84,251.87,2135.17
TUBG1,ENSG00000135052,152.409,170.912,133.254,328.707,342.548,315.237,184.055,205.306,276.603,144.063,40.6818,58.7122,54.8106,447.771,612.134,156.027,753.543
TWF1,ENSG00000108406,4141.82,2110.51,3501.27,3215.46,1618.13,614.821,583.136,3321.83,1256.86,749.219,1665.26,559.97,2276.24,1525.54,1966.33,764.626,1297.67
ADAM9,ENSG00000161267,1782.58,982.289,4713.75,1619.16,1901.99,619.376,6078.13,1282.85,3065.52,2844.6,1665.54,701.391,2007.39,5771.93,1568.16,1654.14,2671.84
AKAP8L,ENSG00000106397,1792.85,1374.09,1798.42,1329.07,4484.79,3001.87,3293.62,2355.99,1231.24,1662.02,867.224,1950.86,1517.72,2131.03,3639.56,2125.24,3281.81
F11R,ENSG00000119125,2383.66,1726.99,5537.53,2172.87,3897.9,891.462,4400.23,587.467,6115.34,4673.27,509.482,347.747,5684.46,4408.03,303.693,2712.08,692.209
GOLM1,ENSG00000079134,2201,944.324,1166.68,2152.39,1049.9,2219.98,6817.33,2680.94,1671.2,3805.42,3435.56,1316.51,2581.1,5004.77,2085.08,1822.66,2662.15
DHX40,ENSG00000132664,200.818,515.915,514.935,114.35,804.285,142.093,874.668,650.465,454.749,808.659,433.882,276.237,486.812,433.15,1327.95,829.06,84.751
BDH1,ENSG00000180185,1606.92,524.039,175.261,1396.33,5057.26,259.203,693.872,348.746,724.227,969.804,261.092,1349.57,1513.91,408.539,331.502,1498.89,403.691
PLOD3,ENSG00000105835,2233.04,2341.13,3678.2,3979.12,4734.54,1494.64,1602.98,1038.46,1677.02,1527.96,2503.58,4733.24,1761.37,2416.9,1570.36,3444.22,1645.37
GDA,ENSG00000160410,384.378,1009.72,258.77,998.321,6151.39,996.772,3165.99,3371.46,183.792,483.477,402.193,122.516,1882.67,63.4404,434.621,277.589,399.21
THOC1,ENSG00000128563,3626.85,1825.71,5158.83,1697.63,4302.68,3548.81,5339.16,2993.5,1809.46,3335.04,1942.45,1037.12,2170.84,1892.29,4141.77,2819,1093.83
POLR3F,ENSG00000147536,359.563,311.553,75.194,93.7627,702.783,262.992,430.717,337.967,170.785,360.07,437.409,320.229,105.782,449.471,787.415,939.563,605.013
FAHD1,ENSG00000124164,1056.53,956.435,643.198,1565.97,442.214,943.828,3080.19,2461.72,1113.63,3273.1,661.144,720.52,1599.34,1558.07,693.877,668.692,2242.21
NAMPT,ENSG00000100320,6079.49,4400.05,13979.4,4151.52,1143.02,1251.85,1837.75,1918.14,1975.67,1012.8,2129.61,570.659,2644.54,2334.1,3372.31,676.215,1382.13
SHKBP1,ENSG00000163191,1086.02,186.335,262.9,222.462,1153.77,755.16,120.228,924.003,209.524,145.323,397.934,107.971,424.945,355.29,133.082,488.054,55.6329
PRKRIP1,ENSG00000124222,991.382,429.056,1030.13,973.12,759.201,1098.37,1422.2,681.995,508.738,536.185,301.56,141.243,109.016,1184.87,3628.06,1557.24,351.988
GINS4,ENSG00000167969,552.688,487.462,932.62,64.2708,449.174,1473.19,597.397,735.654,452.293,441.36,702.875,110.685,186.722,276.166,1549.32,236.063,3816.12
VAPB,ENSG00000077312,3883.11,2973.58,2574.01,2936.18,3280.8,4735.09,5568.73,2238.31,2294.57,2878.26,1330.8,1150.13,905.87,1904,2734.44,2689.78,3469.29
RBFOX2,ENSG00000125870,799.523,915.293,579.019,157.431,904.346,1914.64,1407.92,861.423,523.586,622.065,899.683,835.869,1065.01,762.785,3285.17,397.567,1199.5
S100A11,ENSG00000112584,529.386,1007.35,1272.55,206.806,1110.52,235.423,400.733,3993.36,5169.25,2623.41,1707.92,418.399,6462.7,4039.68,491.571,267.63,2503.1
STX16,ENSG00000147649,327.982,311.659,266.268,380.973,90.8253,241.037,289.654,358.487,566.172,574.711,39.3857,106.27,338.113,679.35,85.3953,349.027,155.844
ECI1,ENSG00000087253,3415.74,4211.94,2304.29,1985.31,2749.52,1535.23,3688.67,863.716,526.144,3194.26,1447.75,2131.31,2082.49,2454.31,2752.59,4290.21,1938.8
SNRPA,ENSG00000104267,4176.71,3129.71,5981.03,2345.32,2677.64,4657.71,4015.88,1717.68,1605.56,2396.95,1997.66,2738.05,1261.69,2639.87,4655.67,3330.15,1673.63
SNRPB2,ENSG00000132963,1310.55,1347.67,3468.67,1641.36,1063.96,1316.19,2258.77,703.428,826.764,1212.89,844.748,1276.83,716.158,1130.95,2049.4,2039.65,876.452
FAM120B,ENSG00000178913,336.845,237.62,197.589,624.581,645.739,171.786,353.8,1834.93,296.305,262.961,597.766,173.242,629.458,201.171,311.578,270.504,324.6
MTDH,ENSG00000109072,4705.14,2711.11,6349.21,2587.61,7275.53,3760.85,6579.94,4526.27,2707.49,2355.8,3346.13,1498.43,2520.32,3327.31,7263.11,7563.81,2206.36
LPCAT2,ENSG00000055332,524.769,418.129,796.838,700.698,874.861,285.22,739.524,251.271,1053.82,385.652,394.486,502.484,1026.65,215.511,191.49,1047.5,133.306
CA2,ENSG00000103091,524.643,1647.9,454.105,601.928,1078.28,262.067,4050.47,518.361,653.282,9141.31,4268.7,64.3878,260.636,10280.3,2152.33,233.164,461.061
POMP,ENSG00000102103,329.208,490.647,875.12,139.286,103.124,131.956,319.619,1214.3,1312.55,417.218,152.266,45.0343,446.352,130.226,4158.03,84.4833,876.728
